Name,Address,Category,SubCategory,Day,MAPCODE,Description,OriginalName,Order,Layer,Notes
✈ 那霸機場,"Naha Airport, Okinawa, Japan",交通,機場,Day 1 / Day 5,33 123 189*60,中文顯示名稱：✈ 那霸機場｜原始名稱：那霸機場｜MAPCODE：33 123 189*60｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 1 / Day 5｜PDF Day 1 抵達、Day 5 還車搭機使用。｜原始名稱：那霸機場,那霸機場,1,機場與住宿,PDF Day 1 抵達、Day 5 還車搭機使用。
🚗 SKY租車,"SKY Rent A Car Naha Airport, 1-23-8 Gushi, Naha, Okinawa",交通,租車,Day 1 / Day 5,33 033 327*52,"中文顯示名稱：🚗 SKY租車｜原始名稱：SKY租車 那霸空港店｜MAPCODE：33 033 327*52｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜Google Maps Search Query：SKY Rent A Car Naha Airport, 1-23-8 Gushi, Naha, Okinawa｜行程/區域：Day 1 / Day 5｜PDF 第3頁提到那霸空港店；建議租車/還車用。｜原始名稱：SKY租車 那霸空港店",SKY租車 那霸空港店,2,機場與住宿,PDF 第3頁提到那霸空港店；建議租車/還車用。｜已檢查修正：名稱/搜尋字串修乾淨，保留 MAPCODE。
🏨 Gran View飯店,"Hotel Gran View Garden Okinawa, Okinawa, Japan",住宿,飯店,住宿,232 543 670*38,中文顯示名稱：🏨 Gran View飯店｜原始名稱：Hotel Gran View Garden Okinawa｜MAPCODE：232 543 670*38｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：比對自飯店名稱「格蘭德維尤花園」，建議訂房後再次核對地址是否一致｜行程/區域：住宿｜PDF 行程住宿。｜原始名稱：Hotel Gran View Garden Okinawa,Hotel Gran View Garden Okinawa,3,機場與住宿,PDF 行程住宿。
📍沖繩世界,"Okinawa World Gyokusendo Cave, Okinawa, Japan",景點,景點,Day 4,232 495 330*28,中文顯示名稱：📍沖繩世界｜原始名稱：沖繩世界 / 玉泉洞｜MAPCODE：232 495 330*28｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 4｜PDF Day 4 09:30 玉泉洞與沖繩世界。｜原始名稱：沖繩世界 / 玉泉洞,沖繩世界 / 玉泉洞,4,南部,PDF Day 4 09:30 玉泉洞與沖繩世界。
🐟 糸滿魚市場,Itoman Fish Center Okinawa Japan,購物,市場,Day 4,232 484 137*05,中文顯示名稱：🐟 糸滿魚市場｜原始名稱：糸滿魚市場 / 糸滿魚中心｜MAPCODE：232 484 137*05｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 4｜PDF Day 4 午餐候選，糸滿魚市場。｜原始名稱：糸滿魚市場 / 糸滿魚中心,糸滿魚市場 / 糸滿魚中心,5,南部,PDF Day 4 午餐候選，糸滿魚市場。
🐠 DMM水族館,"DMM Kariyushi Aquarium, Okinawa, Japan",景點,景點,Day 4,232 543 400*25,中文顯示名稱：🐠 DMM水族館｜原始名稱：DMM Kariyushi 水族館｜MAPCODE：232 543 400*25｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 4｜PDF 第3、8、11頁提到 DMM 水族館。｜原始名稱：DMM Kariyushi 水族館,DMM Kariyushi 水族館,6,南部,PDF 第3、8、11頁提到 DMM 水族館。
🛍 Ashibinaa Outlet,"Okinawa Outlet Mall Ashibinaa, Okinawa, Japan",購物,購物,Day 4,232 544 544*82,中文顯示名稱：🛍 Ashibinaa Outlet｜原始名稱：沖繩 Outlet Mall Ashibinaa｜MAPCODE：232 544 544*82｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：四個來源數值在544/452/542/451間有差異，大型賣場建議導航到此範圍後依現場指標進入｜行程/區域：Day 4｜PDF 第3、8頁提到 Ashibinaa Outlet。｜原始名稱：沖繩 Outlet Mall Ashibinaa,沖繩 Outlet Mall Ashibinaa,7,南部,PDF 第3、8頁提到 Ashibinaa Outlet。
🌊 瀨長島,"Senagajima Umikaji Terrace, Okinawa, Japan",景點,景點/晚餐,Day 4,33 002 602*06,中文顯示名稱：🌊 瀨長島｜原始名稱：瀨長島 Umikaji Terrace｜MAPCODE：33 002 602*06｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 4｜PDF Day 4 傍晚/晚餐備案，靠近機場與豐崎。｜原始名稱：瀨長島 Umikaji Terrace,瀨長島 Umikaji Terrace,8,南部,PDF Day 4 傍晚/晚餐備案，靠近機場與豐崎。
📍古宇利大橋,"Kouri Bridge, Okinawa, Japan",景點,景點,Day 2,485 662 133*22,中文顯示名稱：📍古宇利大橋｜原始名稱：古宇利大橋｜MAPCODE：485 662 133*22｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 2｜PDF Day 2 11:00 古宇利大橋拍照。｜原始名稱：古宇利大橋,古宇利大橋,9,北部,PDF Day 2 11:00 古宇利大橋拍照。
📍心形岩,"Heart Rock Kouri Island, Okinawa, Japan",景點,景點,Day 2,485 751 209*77,中文顯示名稱：📍心形岩｜原始名稱：古宇利島 Heart Rock｜MAPCODE：485 751 209*77｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源給485 751 149*43（差異較大），建議出發前用手機核對｜行程/區域：Day 2｜PDF Day 2 古宇利島景點。｜原始名稱：古宇利島 Heart Rock,古宇利島 Heart Rock,10,北部,PDF Day 2 古宇利島景點。
🍤 古宇利蝦飯,"Kouri Shrimp, Kouri Island, Okinawa, Japan",美食,餐廳,Day 2,,中文顯示名稱：🍤 古宇利蝦飯｜原始名稱：Kouri Shrimp 古宇利島蝦蝦飯｜MAPCODE：（查無資料）｜備註：查無獨立MAPCODE，可先用古宇利大橋 485 662 133*22 導航進島後依指標前往｜行程/區域：Day 2｜PDF Day 2 12:00 古宇利島蝦蝦飯。｜原始名稱：Kouri Shrimp 古宇利島蝦蝦飯,Kouri Shrimp 古宇利島蝦蝦飯,11,北部,PDF Day 2 12:00 古宇利島蝦蝦飯。
🐠 美麗海水族館,"Okinawa Churaumi Aquarium, Okinawa, Japan",景點,景點,Day 2,553 075 737*32,中文顯示名稱：🐠 美麗海水族館｜原始名稱：沖繩美麗海水族館｜MAPCODE：553 075 737*32｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源給553 075 797（差異很小，應為水族館不同入口）｜行程/區域：Day 2｜PDF Day 2 13:30 美麗海水族館。｜原始名稱：沖繩美麗海水族館,沖繩美麗海水族館,12,北部,PDF Day 2 13:30 美麗海水族館。
📍萬座毛,"Cape Manzamo, Okinawa, Japan",景點,景點,Day 3,206 312 097*04,中文顯示名稱：📍萬座毛｜原始名稱：萬座毛｜MAPCODE：206 312 097*04｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另外兩個獨立來源都指向206 312 038*55 / 206 312 039*17，與此數值差異明顯，建議出發前務必用手機Google Maps核對！｜行程/區域：Day 3｜PDF Day 3 10:30 萬座毛。｜原始名稱：萬座毛,萬座毛,13,中部,PDF Day 3 10:30 萬座毛。
📍殘波岬燈塔,"Cape Zanpa Lighthouse, Okinawa, Japan",景點,景點,Day 3,1005 685 377*58,中文顯示名稱：📍殘波岬燈塔｜原始名稱：殘波岬燈塔｜MAPCODE：1005 685 377*58｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 3｜PDF Day 3 13:30 殘波岬燈塔。｜原始名稱：殘波岬燈塔,殘波岬燈塔,14,中部,PDF Day 3 13:30 殘波岬燈塔。
📍殘波大獅子,"Zanpa Big Lion, Okinawa, Japan",景點,景點,Day 3,,中文顯示名稱：📍殘波大獅子｜原始名稱：殘波大獅子｜MAPCODE：（查無資料）｜備註：與殘波岬燈塔同園區入口，可共用上方殘波岬燈塔的MAPCODE｜行程/區域：Day 3｜PDF Day 3 殘波岬燈塔與大獅子。｜原始名稱：殘波大獅子,殘波大獅子,15,中部,PDF Day 3 殘波岬燈塔與大獅子。
🛍 美國村,"Mihama American Village, Okinawa, Japan",景點,景點/購物,Day 3,33 525 449*16,中文顯示名稱：🛍 美國村｜原始名稱：美國村｜MAPCODE：33 525 449*16｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：Day 3｜PDF Day 3 15:30 美國村。｜原始名稱：美國村,美國村,16,中部,PDF Day 3 15:30 美國村。
